rank,objective,design_index,objective_value,cost,selling_price,user_satisfaction,demand,profit,selected_components
1,maximize_user_satisfaction,24255871,146860.0,2790.0,4185.0,146860.0,101,140895.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
2,maximize_user_satisfaction,25188991,146413.0,2850.0,4275.0,146413.0,88,125400.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
3,maximize_user_satisfaction,24255872,146344.0,2810.0,4215.0,146344.0,96,134880.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
4,maximize_user_satisfaction,24255925,146090.0,2790.0,4185.0,146090.0,100,139500.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
5,maximize_user_satisfaction,24255709,145940.0,2775.0,4162.5,145940.0,102,141525.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
6,maximize_user_satisfaction,25188992,145897.0,2870.0,4305.0,145897.0,84,120540.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
7,maximize_user_satisfaction,25189045,145643.0,2850.0,4275.0,145643.0,88,125400.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
8,maximize_user_satisfaction,24255926,145574.0,2810.0,4215.0,145574.0,95,133475.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful youth-oriented'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Metal']}"
9,maximize_user_satisfaction,25188829,145493.0,2835.0,4252.5,145493.0,90,127575.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Standard Disc'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Full Suspension'], 'Fenders': ['Plastic']}"
10,maximize_user_satisfaction,24255868,145430.0,2510.0,3765.0,145430.0,152,190760.0,"{'Bike Frame': ['Carbon Fiber'], 'Tires': ['High Grip'], 'Brakes': ['Precision'], 'Handlebars': ['Basic Drop Down'], 'Pedals': ['Basic Clipless'], 'Gears': ['24 Speed'], 'Seat': ['Polymer Gel Comfort'], 'Accessories': ['Bell', 'Reflectors', 'Repair Kit', 'Bottle Cage', 'Light'], 'Decals': ['Colorful thin brushstrokes'], 'Carriers': ['Simple Flat Rack'], 'Suspension/shock absorbers': ['Front'], 'Fenders': ['Plastic']}"
