component_category,component_name,component_description,component_cost,Colorful,Fits Rider's Personality,Minimum Complexity For User,Easy To Maintain,Safety,Low Price Point,Sleek,Stylish,Easy To Ride,Comfortable,Soft Ride,"Repair, Parts, Support Nearby",Ability To Handle Rough Terrain,Ability To Stop Quickly,On-Road And Off-Road Capabilities,Able To Carry Things,Durable,Reliability (No Defective Parts),Feel Young At Heart,Ability To Turn Sharply,Environmentally Friendly,Protect The Rider From Water & Dirt,Light Weight,High Visibility,Easily Handles Change In Incline,Speed,Shifts Smoothly,Provides Competitive Advantage,Aerodynamic,"Specialized Repair, Parts, Support",Rider Expertise Required,Status Symbol/Exclusivity,Navigation Assistance,Practical,Soften The Impact Of Rough Terrain,"Precise Speed Control-Turns, Hills"
Bike Frame,Aluminium (Standard),Affordable all-around frame,250,100,100,100,110,100,125,105,100,100,100,100,100,100,100,105,100,105,100,100,108,100,100,95,100,100,100,100,100,100,100,100,90,100,100,100,100
Bike Frame,Aluminium (Enriched),Corrosion-resistant upgraded alloy,400,100,100,100,100,100,95,115,100,100,100,100,100,100,100,115,100,115,110,110,110,100,100,105,100,100,100,100,100,100,100,100,100,100,100,100,100
Bike Frame,Carbon Fiber,Ultra-light high-performance frame,1200,100,100,100,100,100,60,135,100,100,100,100,100,100,100,90,100,90,100,130,115,100,100,140,100,100,125,100,130,115,130,100,130,100,100,100,100
Bike Frame,Steel,Strong frame with smooth ride,500,100,100,100,100,100,105,90,100,100,115,120,100,100,100,110,100,130,100,90,95,100,100,70,100,100,85,100,100,100,100,100,100,100,100,100,100
Bike Frame,Titanium,Premium lightweight durable frame,1800,100,100,100,100,100,50,130,100,100,110,100,100,100,100,110,100,125,100,120,100,110,100,130,100,100,100,100,100,100,100,100,145,100,100,100,100
Tires,High Grip,Maximum traction and control,90,100,100,100,100,130,100,105,100,100,100,100,100,120,125,125,100,100,100,115,125,100,100,100,100,100,90,100,100,100,100,100,100,102,100,100,100
Tires,Basic,Affordable everyday tire,40,100,100,100,100,100,130,95,100,100,100,100,100,100,100,95,100,100,100,90,100,100,100,100,100,100,95,100,100,100,100,100,100,100,115,100,100
Tires,Comfort,Cushioned ride over bumps,60,100,100,100,100,100,100,90,100,100,130,135,100,100,100,115,100,100,100,95,92,100,100,100,100,100,90,100,100,100,100,100,100,100,100,135,100
Tires,Racing - Fast,Low rolling resistance tire,90,100,100,100,100,100,100,120,100,100,100,100,100,85,100,75,100,100,100,130,115,100,100,100,100,100,135,100,120,110,100,100,100,98,100,100,100
Brakes,Standard,Simple and easy to service,50,100,100,100,125,100,130,95,100,100,100,100,100,100,90,95,100,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Brakes,Precision,High-control braking feel,120,100,100,100,100,115,100,110,100,100,100,100,100,100,120,110,100,100,100,110,112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,130
