Need,Importance
Colorful,117
Fits Rider's Personality,119
Minimum Complexity For User,100
Easy To Maintain,105
Safety,114
Low Price Point,95
Sleek,87
Stylish,112
Easy To Ride,98
Comfortable,99
Soft Ride,87
"Repair, Parts, Support Nearby",116
Ability To Handle Rough Terrain,130
Ability To Stop Quickly,122
On-Road And Off-Road Capabilities,100
Able To Carry Things,99
Durable,130
Reliability (No Defective Parts),126
Feel Young At Heart,117
Ability To Turn Sharply,128
Environmentally Friendly,112
Protect The Rider From Water & Dirt,108
Light Weight,119
High Visibility ,101
Easily Handles Change In Incline,124
Speed,110
Shifts Smoothly,123
Provides Competitive Advantage,115
Aerodynamic,93
"Specialized Repair, Parts, Support",121
Rider Expertise Required,126
Status Symbol/Exclusivity,115
Navigation Assistance,119
Practical ,78
Soften The Impact Of Rough Terrain,125
"Precise Speed Control-Turns, Hills",108
