component_category,component_name,component_description,component_cost,Colorful,Fits Rider's Personality,Minimum Complexity For User,Easy To Maintain,Safety,Low Price Point,Sleek,Stylish,Easy To Ride,Comfortable,Soft Ride,"Repair, Parts, Support Nearby",Ability To Handle Rough Terrain,Ability To Stop Quickly,On-Road And Off-Road Capabilities,Able To Carry Things,Durable,Reliability (No Defective Parts),Feel Young At Heart,Ability To Turn Sharply,Environmentally Friendly,Protect The Rider From Water & Dirt,Light Weight,High Visibility,Easily Handles Change In Incline,Speed,Shifts Smoothly,Provides Competitive Advantage,Aerodynamic,"Specialized Repair, Parts, Support",Rider Expertise Required,Status Symbol/Exclusivity,Navigation Assistance,Practical,Soften The Impact Of Rough Terrain,"Precise Speed Control-Turns, Hills"
Bike Frame,Aluminium (Standard),Affordable all-around frame,250,0,0,0,10,0,25,5,0,0,0,0,0,0,0,5,0,5,0,0,8,0,0,-5,0,0,0,0,0,0,0,0,-10,0,0,0,0
Bike Frame,Aluminium (Enriched),Corrosion-resistant upgraded alloy,400,0,0,0,0,0,-5,15,0,0,0,0,0,0,0,15,0,15,10,10,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bike Frame,Carbon Fiber,Ultra-light high-performance frame,1200,0,0,0,0,0,-40,35,0,0,0,0,0,0,0,-10,0,-10,0,30,15,0,0,40,0,0,25,0,30,15,30,0,30,0,0,0,0
Bike Frame,Steel,Strong frame with smooth ride,500,0,0,0,0,0,5,-10,0,0,15,20,0,0,0,10,0,30,0,-10,-5,0,0,-30,0,0,-15,0,0,0,0,0,0,0,0,0,0
Bike Frame,Titanium,Premium lightweight durable frame,1800,0,0,0,0,0,-50,30,0,0,10,0,0,0,0,10,0,25,0,20,0,10,0,30,0,0,0,0,0,0,0,0,45,0,0,0,0
Tires,High Grip,Maximum traction and control,90,0,0,0,0,30,0,5,0,0,0,0,0,20,25,25,0,0,0,15,25,0,0,0,0,0,-10,0,0,0,0,0,0,2,0,0,0
Tires,Basic,Affordable everyday tire,40,0,0,0,0,0,30,-5,0,0,0,0,0,0,0,-5,0,0,0,-10,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,15,0,0
Tires,Comfort,Cushioned ride over bumps,60,0,0,0,0,0,0,-10,0,0,30,35,0,0,0,15,0,0,0,-5,-8,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,35,0
Tires,Racing - Fast,Low rolling resistance tire,90,0,0,0,0,0,0,20,0,0,0,0,0,-15,0,-25,0,0,0,30,15,0,0,0,0,0,35,0,20,10,0,0,0,-2,0,0,0
Brakes,Standard,Simple and easy to service,50,0,0,0,25,0,30,-5,0,0,0,0,0,0,-10,-5,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
